customer_id,segment,retention_priority,R_score,F_score,M_score,RFM_score
CUST00614,Hibernating,6,1,1,1,3
CUST00615,Potential Loyalists,2,4,2,2,8
CUST00616,Loyal Customers,3,4,3,3,10
CUST00617,Champions,4,5,5,5,15
CUST00618,At Risk,1,2,3,4,9
CUST00619,Loyal Customers,3,5,3,3,11
CUST00620,Hibernating,6,2,2,2,6
CUST00621,Hibernating,6,2,2,1,5
CUST00622,At Risk,1,1,2,4,7
CUST00623,At Risk,1,2,4,5,11
CUST00624,Hibernating,6,1,1,1,3
CUST00625,Loyal Customers,3,3,4,4,11
CUST00626,Loyal Customers,3,5,3,4,12
CUST00627,Needs Attention,5,3,2,2,7
CUST00628,Needs Attention,5,3,2,1,6
CUST00629,Potential Loyalists,2,4,2,2,8
CUST00630,At Risk,1,2,3,5,10
CUST00631,Loyal Customers,3,3,4,4,11
CUST00632,Needs Attention,5,3,2,3,8
CUST00633,Potential Loyalists,2,4,2,4,10
CUST00634,At Risk,1,2,3,3,8
CUST00635,At Risk,1,2,2,3,7
CUST00636,Loyal Customers,3,3,3,5,11
CUST00637,Needs Attention,5,3,2,3,8
CUST00638,Hibernating,6,1,2,1,4
CUST00639,Hibernating,6,1,1,1,3
CUST00640,Hibernating,6,2,2,2,6
CUST00641,Champions,4,4,4,4,12
CUST00642,Champions,4,5,4,4,13
CUST00643,At Risk,1,1,2,3,6
CUST00644,Loyal Customers,3,3,3,3,9
CUST00645,Hibernating,6,1,1,1,3
CUST00646,Hibernating,6,2,2,2,6
CUST00647,Needs Attention,5,3,2,2,7
CUST00648,Potential Loyalists,2,4,2,4,10
CUST00649,Hibernating,6,2,2,1,5
CUST00650,Loyal Customers,3,3,3,5,11
CUST00651,Loyal Customers,3,4,3,5,12
CUST00652,Loyal Customers,3,3,3,5,11
CUST00653,Loyal Customers,3,4,3,5,12
CUST00654,Champions,4,5,4,5,14
CUST00655,Needs Attention,5,3,2,2,7
CUST00656,Loyal Customers,3,3,3,4,10
CUST00657,Needs Attention,5,3,3,2,8
CUST00658,Hibernating,6,1,1,1,3
CUST00659,Potential Loyalists,2,5,2,3,10
CUST00660,Potential Loyalists,2,4,2,2,8
CUST00661,Hibernating,6,1,2,2,5
CUST00662,At Risk,1,2,2,3,7
CUST00663,Loyal Customers,3,3,4,4,11
CUST00664,Potential Loyalists,2,5,2,1,8
CUST00665,Champions,4,4,4,5,13
CUST00666,Potential Loyalists,2,5,2,2,9
CUST00667,Loyal Customers,3,4,3,4,11
CUST00668,Loyal Customers,3,4,3,3,10
CUST00669,Loyal Customers,3,3,4,5,12
CUST00670,Hibernating,6,1,1,1,3
CUST00671,Champions,4,5,4,5,14
CUST00672,Hibernating,6,2,2,2,6
CUST00673,At Risk,1,2,2,4,8
CUST00674,Loyal Customers,3,3,5,5,13
CUST00675,At Risk,1,2,3,5,10
CUST00676,Potential Loyalists,2,5,2,3,10
CUST00677,Potential Loyalists,2,5,2,1,8
CUST00678,Hibernating,6,1,1,1,3
CUST00679,Loyal Customers,3,3,4,5,12
CUST00680,Hibernating,6,1,1,1,3
CUST00681,Hibernating,6,1,1,1,3
CUST00682,Potential Loyalists,2,5,2,4,11
CUST00683,Champions,4,5,4,5,14
CUST00684,Hibernating,6,2,2,2,6
CUST00685,Potential Loyalists,2,5,2,3,10
CUST00686,Hibernating,6,2,2,1,5
CUST00687,At Risk,1,2,4,5,11
CUST00688,Champions,4,5,4,5,14
CUST00689,Loyal Customers,3,3,4,5,12
CUST00690,Champions,4,5,4,5,14
CUST00691,Loyal Customers,3,3,3,4,10
CUST00692,Needs Attention,5,3,2,1,6
CUST00693,At Risk,1,2,2,3,7
CUST00694,Needs Attention,5,3,2,1,6
CUST00695,Hibernating,6,1,1,1,3
CUST00696,Loyal Customers,3,4,3,3,10
CUST00697,Hibernating,6,1,1,1,3
CUST00698,Champions,4,5,4,5,14
CUST00699,Loyal Customers,3,3,4,5,12
CUST00700,Needs Attention,5,3,2,1,6
CUST00701,At Risk,1,2,2,3,7
CUST00702,Needs Attention,5,3,2,1,6
CUST00703,Hibernating,6,2,2,1,5
CUST00704,Loyal Customers,3,4,3,3,10
CUST00705,Potential Loyalists,2,5,2,3,10
CUST00706,Potential Loyalists,2,5,2,2,9
CUST00707,Hibernating,6,1,1,1,3
CUST00708,Champions,4,4,4,5,13
CUST00709,At Risk,1,2,2,5,9
CUST00710,Champions,4,5,4,5,14
CUST00711,Champions,4,5,5,5,15
CUST00712,Potential Loyalists,2,5,2,2,9
CUST00713,Champions,4,5,4,5,14
CUST00714,Loyal Customers,3,4,4,3,11
CUST00715,Loyal Customers,3,4,4,3,11
CUST00716,Champions,4,5,4,4,13
CUST00717,Potential Loyalists,2,5,2,3,10
CUST00718,Hibernating,6,2,2,1,5
CUST00719,Hibernating,6,1,2,2,5
CUST00720,Hibernating,6,1,1,1,3
CUST00721,Potential Loyalists,2,5,2,4,11
CUST00722,Potential Loyalists,2,4,2,1,7
CUST00723,Needs Attention,5,3,2,2,7
CUST00724,Loyal Customers,3,5,3,3,11
CUST00725,At Risk,1,2,3,3,8
CUST00726,At Risk,1,2,4,5,11
CUST00727,Champions,4,5,4,5,14
CUST00728,Needs Attention,5,3,2,2,7
CUST00729,At Risk,1,2,2,4,8
CUST00730,Hibernating,6,1,1,1,3
CUST00731,Hibernating,6,2,2,2,6
CUST00732,Potential Loyalists,2,5,2,2,9
CUST00733,Needs Attention,5,3,2,2,7
CUST00734,At Risk,1,2,3,5,10
CUST00735,Loyal Customers,3,5,3,4,12
CUST00736,Loyal Customers,3,3,4,4,11
CUST00737,Potential Loyalists,2,4,2,3,9
CUST00738,Needs Attention,5,3,2,2,7
CUST00739,Potential Loyalists,2,4,2,3,9
CUST00740,Hibernating,6,1,1,1,3
CUST00741,Hibernating,6,1,1,1,3
CUST00742,Needs Attention,5,3,2,2,7
CUST00743,Potential Loyalists,2,5,2,3,10
CUST00744,Loyal Customers,3,3,3,3,9
CUST00745,Potential Loyalists,2,5,2,3,10
CUST00746,Hibernating,6,1,2,1,4
CUST00747,Potential Loyalists,2,5,2,3,10
CUST00748,Loyal Customers,3,3,4,5,12
CUST00749,Potential Loyalists,2,5,2,3,10
CUST00750,Loyal Customers,3,3,3,3,9
CUST00751,Potential Loyalists,2,5,2,2,9
CUST00752,At Risk,1,2,3,4,9
CUST00753,At Risk,1,2,2,3,7
CUST00754,Loyal Customers,3,4,3,5,12
CUST00755,Hibernating,6,1,1,1,3
CUST00756,Hibernating,6,2,2,1,5
CUST00757,Potential Loyalists,2,5,2,2,9
CUST00758,Loyal Customers,3,3,4,3,10
CUST00759,Loyal Customers,3,4,3,4,11
CUST00760,Hibernating,6,1,2,1,4
CUST00761,Hibernating,6,1,1,1,3
CUST00762,Loyal Customers,3,4,3,5,12
CUST00763,Hibernating,6,1,1,1,3
CUST00764,Loyal Customers,3,4,3,4,11
CUST00765,At Risk,1,2,3,5,10
CUST00766,Hibernating,6,1,2,2,5
CUST00767,Needs Attention,5,3,2,2,7
CUST00768,Loyal Customers,3,4,3,4,11
CUST00769,Loyal Customers,3,5,3,3,11
CUST00770,Champions,4,4,4,5,13
CUST00771,Hibernating,6,2,2,2,6
CUST00772,Hibernating,6,1,1,1,3
CUST00773,Needs Attention,5,3,2,2,7
CUST00774,Hibernating,6,2,2,1,5
CUST00775,Potential Loyalists,2,4,2,4,10
CUST00776,Hibernating,6,2,2,2,6
CUST00777,Potential Loyalists,2,5,2,3,10
CUST00778,Hibernating,6,1,1,1,3
CUST00779,Potential Loyalists,2,5,2,2,9
CUST00780,Champions,4,4,4,5,13
CUST00781,Needs Attention,5,3,2,2,7
CUST00782,Hibernating,6,1,1,1,3
CUST00783,Hibernating,6,1,1,1,3
CUST00784,Loyal Customers,3,4,3,4,11
CUST00785,Champions,4,5,4,4,13
CUST00786,At Risk,1,1,2,3,6
CUST00787,Loyal Customers,3,3,4,5,12
CUST00788,Needs Attention,5,3,2,4,9
CUST00789,Needs Attention,5,3,2,3,8
CUST00790,Needs Attention,5,3,2,2,7
CUST00791,Hibernating,6,1,1,1,3
CUST00792,At Risk,1,1,2,4,7
CUST00793,At Risk,1,2,2,4,8
CUST00794,Hibernating,6,1,2,2,5
CUST00795,At Risk,1,2,3,5,10
CUST00796,At Risk,1,1,2,4,7
CUST00797,Potential Loyalists,2,5,2,2,9
CUST00798,Loyal Customers,3,3,3,4,10
CUST00799,Loyal Customers,3,3,3,3,9
CUST00800,Champions,4,5,5,5,15
CUST00801,Loyal Customers,3,3,3,4,10
CUST00802,Hibernating,6,1,1,1,3
CUST00803,Loyal Customers,3,3,3,5,11
CUST00804,Potential Loyalists,2,5,2,3,10
CUST00805,Potential Loyalists,2,4,2,3,9
CUST00806,Potential Loyalists,2,4,2,3,9
CUST00807,Hibernating,6,2,2,2,6
CUST00808,Needs Attention,5,3,2,2,7
CUST00809,Champions,4,4,4,4,12
CUST00810,Hibernating,6,1,1,1,3
CUST00811,Hibernating,6,1,1,1,3
CUST00812,Hibernating,6,1,1,1,3
CUST00813,Champions,4,5,4,5,14
CUST00814,At Risk,1,2,3,5,10
CUST00815,At Risk,1,2,3,5,10
CUST00816,Loyal Customers,3,3,3,5,11
CUST00817,Champions,4,5,5,5,15
CUST00818,At Risk,1,2,2,3,7
CUST00819,Champions,4,4,4,5,13
CUST00820,Hibernating,6,1,1,1,3
CUST00821,Hibernating,6,2,2,2,6
CUST00822,Loyal Customers,3,3,4,4,11
CUST00823,At Risk,1,2,3,2,7
CUST00824,Potential Loyalists,2,5,2,2,9
CUST00825,Hibernating,6,2,2,2,6
CUST00826,At Risk,1,1,3,5,9
CUST00827,Needs Attention,5,3,2,4,9
CUST00828,Hibernating,6,2,2,1,5
CUST00829,Loyal Customers,3,3,4,5,12
CUST00830,Loyal Customers,3,5,3,3,11
CUST00831,Loyal Customers,3,5,3,3,11
CUST00832,Potential Loyalists,2,5,2,3,10
CUST00833,Needs Attention,5,3,2,3,8
CUST00834,Potential Loyalists,2,5,2,3,10
CUST00835,At Risk,1,1,4,4,9
CUST00836,Loyal Customers,3,5,3,4,12
CUST00837,Loyal Customers,3,5,3,4,12
CUST00838,Potential Loyalists,2,5,2,2,9
CUST00839,At Risk,1,1,3,3,7
CUST00840,Loyal Customers,3,3,4,5,12
CUST00841,At Risk,1,2,5,5,12
CUST00842,Loyal Customers,3,3,3,4,10
CUST00843,Potential Loyalists,2,4,2,3,9
CUST00844,Potential Loyalists,2,5,2,2,9
CUST00845,At Risk,1,2,2,3,7
CUST00846,Champions,4,4,4,4,12
CUST00847,Potential Loyalists,2,5,2,4,11
CUST00848,Potential Loyalists,2,5,2,2,9
CUST00849,Champions,4,5,4,5,14
CUST00850,Loyal Customers,3,5,3,5,13
CUST00851,Potential Loyalists,2,5,2,3,10
CUST00852,Loyal Customers,3,3,3,3,9
CUST00853,Needs Attention,5,3,2,1,6
CUST00854,Hibernating,6,1,1,1,3
CUST00855,Hibernating,6,1,1,1,3
CUST00856,At Risk,1,2,2,5,9
CUST00857,Loyal Customers,3,3,3,4,10
CUST00858,At Risk,1,2,3,4,9
CUST00859,At Risk,1,1,2,3,6
CUST00860,Needs Attention,5,3,2,4,9
CUST00861,At Risk,1,1,2,3,6
CUST00862,Hibernating,6,1,1,1,3
CUST00863,Loyal Customers,3,4,3,4,11
CUST00864,Hibernating,6,2,2,1,5
CUST00865,Loyal Customers,3,3,3,4,10
CUST00866,Potential Loyalists,2,4,2,4,10
CUST00867,Potential Loyalists,2,5,2,2,9
CUST00868,Potential Loyalists,2,5,2,3,10
CUST00869,At Risk,1,2,4,4,10
CUST00870,At Risk,1,2,4,5,11
CUST00871,At Risk,1,2,4,4,10
CUST00872,At Risk,1,2,2,3,7
CUST00873,Loyal Customers,3,5,3,5,13
CUST00874,Potential Loyalists,2,4,2,2,8
CUST00875,Potential Loyalists,2,4,2,1,7
CUST00876,Loyal Customers,3,4,3,3,10
CUST00877,Loyal Customers,3,3,3,3,9
CUST00878,At Risk,1,2,3,5,10
CUST00879,At Risk,1,1,3,5,9
CUST00880,Champions,4,5,4,4,13
CUST00881,Potential Loyalists,2,5,2,4,11
CUST00882,Loyal Customers,3,3,3,3,9
CUST00883,At Risk,1,2,3,5,10
CUST00884,Hibernating,6,1,1,1,3
CUST00885,Loyal Customers,3,4,3,4,11
CUST00886,Potential Loyalists,2,5,2,1,8
CUST00887,Potential Loyalists,2,5,2,4,11
CUST00888,At Risk,1,2,2,4,8
CUST00889,Loyal Customers,3,4,3,4,11
CUST00890,Potential Loyalists,2,4,2,2,8
CUST00891,Loyal Customers,3,5,3,4,12
CUST00892,Potential Loyalists,2,5,2,1,8
CUST00893,Hibernating,6,2,2,2,6
CUST00894,Loyal Customers,3,4,3,5,12
CUST00895,Needs Attention,5,3,2,1,6
CUST00896,Champions,4,5,5,5,15
CUST00897,Potential Loyalists,2,5,2,2,9
CUST00898,Hibernating,6,1,1,1,3
CUST00899,Hibernating,6,1,1,1,3
CUST00900,Loyal Customers,3,3,3,4,10
CUST00901,Champions,4,4,4,4,12
CUST00902,Potential Loyalists,2,5,2,4,11
CUST00903,Potential Loyalists,2,4,2,2,8
CUST00904,Champions,4,4,4,5,13
CUST00905,Loyal Customers,3,4,3,5,12
CUST00906,Loyal Customers,3,4,3,4,11
CUST00907,Hibernating,6,1,1,1,3
CUST00908,Loyal Customers,3,4,3,5,12
CUST00909,Hibernating,6,1,1,1,3
CUST00910,At Risk,1,2,2,4,8
CUST00911,Champions,4,4,4,5,13
CUST00912,At Risk,1,2,2,4,8
CUST00913,Hibernating,6,1,1,1,3
CUST00914,Loyal Customers,3,4,3,3,10
CUST00915,Hibernating,6,2,2,2,6
CUST00916,Loyal Customers,3,5,3,4,12
CUST00917,Hibernating,6,1,1,1,3
CUST00918,Hibernating,6,1,1,1,3
CUST00919,Loyal Customers,3,5,3,5,13
CUST00920,Needs Attention,5,3,2,3,8
CUST00921,Hibernating,6,1,1,1,3
CUST00922,Potential Loyalists,2,5,2,3,10
CUST00923,Loyal Customers,3,3,3,4,10
CUST00924,Potential Loyalists,2,4,2,4,10
CUST00925,Potential Loyalists,2,4,2,2,8
CUST00926,Champions,4,5,4,4,13
CUST00927,Hibernating,6,1,1,1,3
CUST00928,Hibernating,6,1,1,1,3
CUST00929,Potential Loyalists,2,4,2,1,7
CUST00930,Loyal Customers,3,3,4,5,12
CUST00931,Potential Loyalists,2,4,2,3,9
CUST00932,Needs Attention,5,3,2,2,7
CUST00933,Hibernating,6,1,1,1,3
CUST00934,Potential Loyalists,2,4,2,2,8
CUST00935,Champions,4,4,5,5,14
CUST00936,Potential Loyalists,2,4,2,4,10
CUST00937,At Risk,1,2,3,3,8
CUST00938,Potential Loyalists,2,4,2,4,10
CUST00939,Potential Loyalists,2,5,2,2,9
CUST00940,Hibernating,6,1,1,1,3
CUST00941,Hibernating,6,1,1,1,3
CUST00942,Potential Loyalists,2,5,2,2,9
CUST00943,Hibernating,6,1,1,1,3
CUST00944,Needs Attention,5,3,2,2,7
CUST00945,Potential Loyalists,2,5,2,3,10
CUST00946,Hibernating,6,1,2,2,5
CUST00947,Champions,4,4,4,4,12
CUST00948,Needs Attention,5,3,2,3,8
CUST00949,Hibernating,6,2,2,2,6
CUST00950,Hibernating,6,1,1,1,3
CUST00951,Needs Attention,5,3,2,2,7
CUST00952,Champions,4,4,4,5,13
CUST00953,Champions,4,5,4,5,14
CUST00954,Loyal Customers,3,4,3,3,10
CUST00955,Loyal Customers,3,3,3,3,9
CUST00956,Loyal Customers,3,4,3,5,12
CUST00957,Loyal Customers,3,4,3,3,10
CUST00958,At Risk,1,1,3,3,7
CUST00959,Needs Attention,5,3,3,2,8
CUST00960,At Risk,1,2,2,4,8
CUST00961,At Risk,1,1,3,4,8
CUST00962,Potential Loyalists,2,4,2,1,7
CUST00963,Hibernating,6,2,2,2,6
CUST00964,Hibernating,6,1,1,1,3
CUST00965,Potential Loyalists,2,5,3,2,10
CUST00966,Potential Loyalists,2,4,2,5,11
CUST00967,Hibernating,6,1,1,1,3
CUST00968,Hibernating,6,2,2,2,6
CUST00969,Loyal Customers,3,4,3,4,11
CUST00970,Hibernating,6,1,1,1,3
CUST00971,Loyal Customers,3,3,4,5,12
CUST00972,Needs Attention,5,3,2,4,9
CUST00973,Loyal Customers,3,4,3,3,10
CUST00974,Loyal Customers,3,3,4,5,12
CUST00975,Needs Attention,5,3,2,2,7
CUST00976,Potential Loyalists,2,5,2,2,9
CUST00977,Loyal Customers,3,5,3,4,12
CUST00978,Hibernating,6,1,1,1,3
CUST00979,At Risk,1,2,2,3,7
CUST00980,Needs Attention,5,3,2,2,7
CUST00981,At Risk,1,2,3,4,9
CUST00982,At Risk,1,2,4,4,10
CUST00983,Hibernating,6,1,1,1,3
CUST00984,Loyal Customers,3,4,3,3,10
CUST00985,Needs Attention,5,3,2,3,8
CUST00986,Loyal Customers,3,3,3,3,9
CUST00987,Potential Loyalists,2,5,2,4,11
CUST00988,Champions,4,5,5,5,15
CUST00989,At Risk,1,1,3,3,7
CUST00990,At Risk,1,1,4,5,10
CUST00991,Champions,4,4,4,5,13
CUST00992,Hibernating,6,1,1,1,3
CUST00993,At Risk,1,1,2,4,7
CUST00994,Loyal Customers,3,3,3,5,11
CUST00995,Hibernating,6,1,2,2,5
CUST00996,Champions,4,5,5,5,15
CUST00997,Hibernating,6,1,2,1,4
CUST00998,Loyal Customers,3,3,4,5,12
CUST00999,At Risk,1,1,2,3,6
CUST01000,Loyal Customers,3,3,3,3,9
CUST01001,Hibernating,6,1,1,1,3
CUST01002,Loyal Customers,3,3,3,4,10
CUST01003,At Risk,1,2,2,3,7
CUST01004,Hibernating,6,1,1,1,3
CUST01005,At Risk,1,2,2,4,8
CUST01006,Potential Loyalists,2,5,2,2,9
CUST01007,At Risk,1,2,3,4,9
CUST01008,Hibernating,6,1,1,1,3
CUST01009,Potential Loyalists,2,4,2,1,7
CUST01010,Potential Loyalists,2,4,2,2,8
CUST01011,Hibernating,6,1,1,1,3
CUST01012,Loyal Customers,3,4,3,4,11
CUST01013,Hibernating,6,1,1,1,3
CUST01014,Hibernating,6,2,2,2,6
CUST01015,Potential Loyalists,2,4,2,2,8
CUST01016,Loyal Customers,3,5,3,3,11
CUST01017,At Risk,1,2,3,3,8
CUST01018,Potential Loyalists,2,5,2,2,9
CUST01019,Hibernating,6,1,1,1,3
CUST01020,Hibernating,6,2,2,1,5
CUST01021,Loyal Customers,3,5,3,3,11
CUST01022,Hibernating,6,1,1,1,3
CUST01023,Hibernating,6,1,1,1,3
CUST01024,Potential Loyalists,2,5,2,1,8
CUST01025,Loyal Customers,3,4,3,5,12
CUST01026,Needs Attention,5,3,2,1,6
CUST01027,Loyal Customers,3,3,4,5,12
CUST01028,At Risk,1,1,2,5,8
CUST01029,Hibernating,6,2,2,1,5
CUST01030,Champions,4,4,5,5,14
CUST01031,Hibernating,6,1,2,2,5
CUST01032,Potential Loyalists,2,5,2,2,9
CUST01033,Champions,4,5,5,5,15
CUST01034,At Risk,1,2,2,3,7
CUST01035,Champions,4,5,4,4,13
CUST01036,At Risk,1,2,4,5,11
CUST01037,Potential Loyalists,2,5,2,2,9
CUST01038,Loyal Customers,3,3,4,4,11
CUST01039,Hibernating,6,2,2,2,6
CUST01040,Hibernating,6,2,2,2,6
CUST01041,Hibernating,6,1,2,1,4
CUST01042,Potential Loyalists,2,5,2,2,9
CUST01043,Needs Attention,5,3,2,2,7
CUST01044,Needs Attention,5,3,2,5,10
CUST01045,Hibernating,6,2,2,2,6
CUST01046,At Risk,1,2,2,3,7
CUST01047,Hibernating,6,1,2,2,5
CUST01048,Hibernating,6,2,2,2,6
CUST01049,Hibernating,6,2,2,1,5
CUST01050,Loyal Customers,3,5,3,4,12
CUST01051,Hibernating,6,2,2,2,6
CUST01052,At Risk,1,1,2,3,6
CUST01053,At Risk,1,2,2,5,9
CUST01054,Hibernating,6,1,2,2,5
CUST01055,Hibernating,6,1,1,1,3
CUST01056,Loyal Customers,3,3,4,5,12
CUST01057,Potential Loyalists,2,5,2,3,10
CUST01058,Hibernating,6,2,2,1,5
CUST01059,Hibernating,6,2,2,2,6
CUST01060,Loyal Customers,3,3,3,4,10
CUST01061,Potential Loyalists,2,5,2,2,9
CUST01062,Hibernating,6,1,1,1,3
CUST01063,Potential Loyalists,2,5,2,1,8
CUST01064,Loyal Customers,3,5,3,3,11
CUST01065,Potential Loyalists,2,5,2,2,9
CUST01066,Potential Loyalists,2,5,2,3,10
CUST01067,Potential Loyalists,2,4,2,2,8
CUST01068,At Risk,1,2,3,4,9
CUST01069,Needs Attention,5,3,2,4,9
CUST01070,Potential Loyalists,2,5,2,1,8
CUST01071,Potential Loyalists,2,5,2,3,10
CUST01072,Hibernating,6,1,1,1,3
CUST01073,Needs Attention,5,3,2,5,10
CUST01074,At Risk,1,2,3,4,9
CUST01075,Loyal Customers,3,4,3,4,11
CUST01076,Loyal Customers,3,3,3,3,9
CUST01077,Needs Attention,5,3,2,3,8
CUST01078,Hibernating,6,1,2,2,5
CUST01079,At Risk,1,1,2,4,7
CUST01080,Hibernating,6,2,2,2,6
CUST01081,Loyal Customers,3,5,3,3,11
CUST01082,Potential Loyalists,2,4,2,3,9
CUST01083,Hibernating,6,1,1,1,3
CUST01084,Loyal Customers,3,3,4,4,11
CUST01085,Hibernating,6,1,1,1,3
CUST01086,Loyal Customers,3,3,3,4,10
CUST01087,Potential Loyalists,2,5,2,3,10
CUST01088,Potential Loyalists,2,5,2,1,8
CUST01089,Potential Loyalists,2,4,2,1,7
CUST01090,At Risk,1,2,3,4,9
CUST01091,Hibernating,6,2,2,2,6
CUST01092,Hibernating,6,1,1,1,3
CUST01093,Hibernating,6,1,1,1,3
CUST01094,Loyal Customers,3,3,4,4,11
CUST01095,Potential Loyalists,2,4,2,2,8
CUST01096,Champions,4,5,5,5,15
CUST01097,Hibernating,6,1,1,1,3
CUST01098,Hibernating,6,1,1,1,3
CUST01099,Champions,4,5,4,5,14
CUST01100,Potential Loyalists,2,4,2,2,8
CUST01101,Potential Loyalists,2,5,2,3,10
CUST01102,Needs Attention,5,3,2,4,9
CUST01103,Loyal Customers,3,3,3,3,9
CUST01104,Hibernating,6,2,2,2,6
CUST01105,Loyal Customers,3,3,4,4,11
CUST01106,Needs Attention,5,3,2,3,8
CUST01107,At Risk,1,2,3,3,8
CUST01108,Loyal Customers,3,4,3,4,11
CUST01109,Potential Loyalists,2,4,2,1,7
CUST01110,Hibernating,6,1,1,1,3
CUST01111,At Risk,1,2,3,3,8
CUST01112,Loyal Customers,3,3,3,5,11
CUST01113,At Risk,1,2,3,2,7
CUST01114,At Risk,1,2,2,3,7
CUST01115,Champions,4,5,5,5,15
CUST01116,Needs Attention,5,3,2,5,10
CUST01117,Champions,4,4,4,5,13
CUST01118,Hibernating,6,1,2,2,5
CUST01119,Hibernating,6,2,2,2,6
CUST01120,Needs Attention,5,3,2,4,9
CUST01121,Hibernating,6,2,2,1,5
CUST01122,Potential Loyalists,2,5,2,4,11
CUST01123,Hibernating,6,1,1,1,3
CUST01124,At Risk,1,1,4,4,9
CUST01125,Hibernating,6,1,1,1,3
CUST01126,Loyal Customers,3,5,3,5,13
CUST01127,At Risk,1,2,3,3,8
CUST01128,Hibernating,6,1,1,1,3
CUST01129,Hibernating,6,1,2,2,5
CUST01130,At Risk,1,2,3,4,9
CUST01131,Potential Loyalists,2,4,2,2,8
CUST01132,Loyal Customers,3,5,3,5,13
CUST01133,Loyal Customers,3,4,3,3,10
CUST01134,Loyal Customers,3,3,3,5,11
CUST01135,At Risk,1,2,3,5,10
CUST01136,At Risk,1,2,4,5,11
CUST01137,Hibernating,6,2,2,2,6
CUST01138,At Risk,1,2,3,4,9
CUST01139,Potential Loyalists,2,4,2,5,11
CUST01140,Champions,4,4,4,4,12
CUST01141,At Risk,1,2,2,3,7
CUST01142,Loyal Customers,3,4,3,3,10
CUST01143,Potential Loyalists,2,5,2,2,9
CUST01144,Champions,4,4,4,5,13
CUST01145,Hibernating,6,1,1,1,3
CUST01146,Loyal Customers,3,4,3,5,12
CUST01147,Loyal Customers,3,5,4,3,12
CUST01148,At Risk,1,2,5,5,12
CUST01149,Loyal Customers,3,3,3,3,9
CUST01150,Hibernating,6,1,2,2,5
CUST01151,At Risk,1,2,2,3,7
CUST01152,Champions,4,5,5,5,15
CUST01153,Potential Loyalists,2,4,2,3,9
CUST01154,Loyal Customers,3,3,3,5,11
CUST01155,Loyal Customers,3,5,3,4,12
CUST01156,Loyal Customers,3,5,3,3,11
CUST01157,Potential Loyalists,2,5,2,3,10
CUST01158,Champions,4,4,4,5,13
CUST01159,Loyal Customers,3,3,3,4,10
CUST01160,At Risk,1,1,2,3,6
CUST01161,At Risk,1,1,3,4,8
CUST01162,Hibernating,6,1,2,2,5
CUST01163,Hibernating,6,1,1,1,3
CUST01164,Potential Loyalists,2,4,2,3,9
CUST01165,Hibernating,6,1,2,2,5
CUST01166,Loyal Customers,3,4,3,4,11
CUST01167,Champions,4,4,4,5,13
CUST01168,Potential Loyalists,2,5,2,2,9
CUST01169,Needs Attention,5,3,2,4,9
CUST01170,Hibernating,6,2,2,1,5
CUST01171,At Risk,1,2,2,3,7
CUST01172,Champions,4,4,4,5,13
CUST01173,Loyal Customers,3,3,3,3,9
CUST01174,Hibernating,6,2,2,2,6
CUST01175,Loyal Customers,3,3,4,5,12
CUST01176,Hibernating,6,1,1,1,3
CUST01177,Loyal Customers,3,3,4,5,12
CUST01178,Loyal Customers,3,3,4,4,11
CUST01179,Hibernating,6,2,2,2,6
CUST01180,Loyal Customers,3,4,3,5,12
CUST01181,Hibernating,6,2,2,1,5
CUST01182,Hibernating,6,2,2,2,6
CUST01183,Potential Loyalists,2,5,2,2,9
CUST01184,Champions,4,4,4,4,12
CUST01185,Loyal Customers,3,4,3,4,11
CUST01186,At Risk,1,1,3,5,9
CUST01187,Champions,4,4,4,4,12
CUST01188,At Risk,1,2,3,2,7
CUST01189,At Risk,1,1,3,5,9
CUST01190,Champions,4,4,4,4,12
CUST01191,Needs Attention,5,3,2,2,7
CUST01192,Champions,4,4,4,4,12
CUST01193,Hibernating,6,1,1,1,3
CUST01194,Loyal Customers,3,3,3,3,9
CUST01195,Hibernating,6,2,2,2,6
CUST01196,At Risk,1,2,3,5,10
CUST01197,Needs Attention,5,3,3,2,8
CUST01198,Potential Loyalists,2,4,2,2,8
CUST01199,Hibernating,6,1,1,1,3
CUST01200,Needs Attention,5,3,2,2,7
CUST01201,At Risk,1,1,2,3,6
CUST01202,Hibernating,6,2,2,2,6
CUST01203,Needs Attention,5,3,2,1,6
CUST01204,Needs Attention,5,3,2,2,7
CUST01205,Hibernating,6,1,1,1,3
CUST01206,Needs Attention,5,3,2,3,8
CUST01207,Hibernating,6,2,2,1,5
CUST01208,At Risk,1,2,3,3,8
CUST01209,Potential Loyalists,2,5,3,2,10
CUST01210,Hibernating,6,1,1,1,3
CUST01211,Champions,4,5,4,5,14
CUST01212,Loyal Customers,3,5,3,5,13
CUST01213,Hibernating,6,1,2,2,5
CUST01214,At Risk,1,2,2,3,7
CUST01215,Loyal Customers,3,3,3,4,10
CUST01216,At Risk,1,2,2,3,7
CUST01217,Hibernating,6,1,2,2,5
CUST01218,Potential Loyalists,2,5,2,3,10
CUST01219,At Risk,1,2,3,3,8
CUST01220,At Risk,1,2,2,3,7
CUST01221,Potential Loyalists,2,5,2,2,9
CUST01222,Potential Loyalists,2,5,2,4,11
CUST01223,At Risk,1,2,4,4,10
CUST01224,Potential Loyalists,2,4,2,3,9
CUST01225,Hibernating,6,2,2,2,6
CUST01226,Champions,4,4,4,4,12
CUST01227,Champions,4,4,4,4,12
CUST01228,Hibernating,6,1,1,1,3
